,prop,locs,cxt,cond
401,0.7142857142857143,1,0,act
402,0.14285714285714285,1,0,act
403,0.43243243243243246,1,0,act
404,0.325,1,0,act
405,0.3888888888888889,1,0,act
406,0.2,1,0,act
407,0.42105263157894735,1,0,act
408,0.2,1,0,act
409,0.32432432432432434,1,0,act
410,0.2,1,0,act
411,0.34375,1,0,act
412,0.35135135135135137,1,0,act
413,0.3225806451612903,1,0,act
414,0.2222222222222222,1,0,act
415,0.5,1,0,act
416,0.1794871794871795,1,0,act
417,0.20512820512820512,1,0,act
418,0.3055555555555556,1,0,act
419,0.23529411764705882,1,0,act
420,0.3235294117647059,1,0,act
801,0.29411764705882354,1,0,act
802,0.3333333333333333,1,0,act
803,0.3684210526315789,1,0,act
804,0.38095238095238093,1,0,act
805,0.3888888888888889,1,0,act
806,0.3333333333333333,1,0,act
807,0.21428571428571427,1,0,act
808,0.3684210526315789,1,0,act
809,0.375,1,0,act
810,0.38461538461538464,1,0,act
811,0.36363636363636365,1,0,act
812,0.21428571428571427,1,0,act
813,0.4,1,0,act
814,0.38095238095238093,1,0,act
815,0.21052631578947367,1,0,act
817,0.2857142857142857,1,0,act
818,0.3333333333333333,1,0,act
819,0.3888888888888889,1,0,act
820,0.3870967741935484,1,0,act
821,0.38095238095238093,1,0,act
401,0.2857142857142857,2,0,act
402,0.7142857142857143,2,0,act
403,0.3783783783783784,2,0,act
404,0.475,2,0,act
405,0.3333333333333333,2,0,act
406,0.525,2,0,act
407,0.3684210526315789,2,0,act
408,0.6571428571428571,2,0,act
409,0.3783783783783784,2,0,act
410,0.4,2,0,act
411,0.375,2,0,act
412,0.5675675675675675,2,0,act
413,0.5161290322580645,2,0,act
414,0.5,2,0,act
415,0.16666666666666666,2,0,act
416,0.6410256410256411,2,0,act
417,0.48717948717948717,2,0,act
418,0.5277777777777778,2,0,act
419,0.4411764705882353,2,0,act
420,0.5,2,0,act
801,0.5294117647058824,2,0,act
802,0.5,2,0,act
803,0.5789473684210527,2,0,act
804,0.47619047619047616,2,0,act
805,0.5,2,0,act
806,0.5,2,0,act
807,0.5714285714285714,2,0,act
808,0.5789473684210527,2,0,act
809,0.5,2,0,act
810,0.6153846153846154,2,0,act
811,0.5,2,0,act
812,0.5714285714285714,2,0,act
813,0.4666666666666667,2,0,act
814,0.42857142857142855,2,0,act
815,0.6842105263157895,2,0,act
817,0.5,2,0,act
818,0.6111111111111112,2,0,act
819,0.4444444444444444,2,0,act
820,0.41935483870967744,2,0,act
821,0.5714285714285714,2,0,act
401,0.0,3,0,act
402,0.14285714285714285,3,0,act
403,0.1891891891891892,3,0,act
404,0.2,3,0,act
405,0.2777777777777778,3,0,act
406,0.275,3,0,act
407,0.21052631578947367,3,0,act
408,0.14285714285714285,3,0,act
409,0.2972972972972973,3,0,act
410,0.4,3,0,act
411,0.28125,3,0,act
412,0.08108108108108109,3,0,act
413,0.16129032258064516,3,0,act
414,0.2777777777777778,3,0,act
415,0.3333333333333333,3,0,act
416,0.1794871794871795,3,0,act
417,0.3076923076923077,3,0,act
418,0.16666666666666666,3,0,act
419,0.3235294117647059,3,0,act
420,0.17647058823529413,3,0,act
801,0.17647058823529413,3,0,act
802,0.16666666666666666,3,0,act
803,0.05263157894736842,3,0,act
804,0.14285714285714285,3,0,act
805,0.1111111111111111,3,0,act
806,0.16666666666666666,3,0,act
807,0.21428571428571427,3,0,act
808,0.05263157894736842,3,0,act
809,0.125,3,0,act
810,0.0,3,0,act
811,0.13636363636363635,3,0,act
812,0.21428571428571427,3,0,act
813,0.13333333333333333,3,0,act
814,0.19047619047619047,3,0,act
815,0.10526315789473684,3,0,act
817,0.21428571428571427,3,0,act
818,0.05555555555555555,3,0,act
819,0.16666666666666666,3,0,act
820,0.1935483870967742,3,0,act
821,0.047619047619047616,3,0,act
401,0.42857142857142855,1,1,act
402,0.11428571428571428,1,1,act
403,0.19444444444444445,1,1,act
404,0.20512820512820512,1,1,act
405,0.15789473684210525,1,1,act
406,0.28205128205128205,1,1,act
407,0.16216216216216217,1,1,act
408,0.2,1,1,act
409,0.2702702702702703,1,1,act
410,0.2857142857142857,1,1,act
411,0.4,1,1,act
412,0.21052631578947367,1,1,act
413,0.21875,1,1,act
414,0.21212121212121213,1,1,act
415,0.35135135135135137,1,1,act
416,0.1794871794871795,1,1,act
417,0.21621621621621623,1,1,act
418,0.25,1,1,act
419,0.23529411764705882,1,1,act
420,0.23684210526315788,1,1,act
801,0.125,1,1,act
802,0.17647058823529413,1,1,act
803,0.3157894736842105,1,1,act
804,0.19047619047619047,1,1,act
805,0.15789473684210525,1,1,act
806,0.07692307692307693,1,1,act
807,0.14285714285714285,1,1,act
808,0.3333333333333333,1,1,act
809,0.5,1,1,act
810,0.46153846153846156,1,1,act
811,0.34782608695652173,1,1,act
812,0.2,1,1,act
813,0.4117647058823529,1,1,act
814,0.3333333333333333,1,1,act
815,0.2631578947368421,1,1,act
817,0.14285714285714285,1,1,act
818,0.29411764705882354,1,1,act
819,0.05263157894736842,1,1,act
820,0.25806451612903225,1,1,act
821,0.3181818181818182,1,1,act
401,0.42857142857142855,2,1,act
402,0.6857142857142857,2,1,act
403,0.6111111111111112,2,1,act
404,0.6666666666666666,2,1,act
405,0.7368421052631579,2,1,act
406,0.5128205128205128,2,1,act
407,0.6216216216216216,2,1,act
408,0.6571428571428571,2,1,act
409,0.4864864864864865,2,1,act
410,0.47619047619047616,2,1,act
411,0.45714285714285713,2,1,act
412,0.6578947368421053,2,1,act
413,0.625,2,1,act
414,0.48484848484848486,2,1,act
415,0.2702702702702703,2,1,act
416,0.6153846153846154,2,1,act
417,0.5675675675675675,2,1,act
418,0.5833333333333334,2,1,act
419,0.4411764705882353,2,1,act
420,0.5526315789473685,2,1,act
801,0.6875,2,1,act
802,0.7647058823529411,2,1,act
803,0.631578947368421,2,1,act
804,0.6666666666666666,2,1,act
805,0.7894736842105263,2,1,act
806,0.6923076923076923,2,1,act
807,0.7857142857142857,2,1,act
808,0.2777777777777778,2,1,act
809,0.14285714285714285,2,1,act
810,0.3076923076923077,2,1,act
811,0.5217391304347826,2,1,act
812,0.8,2,1,act
813,0.5882352941176471,2,1,act
814,0.42857142857142855,2,1,act
815,0.6842105263157895,2,1,act
817,0.6428571428571429,2,1,act
818,0.5294117647058824,2,1,act
819,0.7368421052631579,2,1,act
820,0.6129032258064516,2,1,act
821,0.36363636363636365,2,1,act
401,0.14285714285714285,3,1,act
402,0.2,3,1,act
403,0.19444444444444445,3,1,act
404,0.1282051282051282,3,1,act
405,0.10526315789473684,3,1,act
406,0.20512820512820512,3,1,act
407,0.21621621621621623,3,1,act
408,0.14285714285714285,3,1,act
409,0.24324324324324326,3,1,act
410,0.23809523809523808,3,1,act
411,0.14285714285714285,3,1,act
412,0.13157894736842105,3,1,act
413,0.15625,3,1,act
414,0.30303030303030304,3,1,act
415,0.3783783783783784,3,1,act
416,0.20512820512820512,3,1,act
417,0.21621621621621623,3,1,act
418,0.16666666666666666,3,1,act
419,0.3235294117647059,3,1,act
420,0.21052631578947367,3,1,act
801,0.1875,3,1,act
802,0.058823529411764705,3,1,act
803,0.05263157894736842,3,1,act
804,0.14285714285714285,3,1,act
805,0.05263157894736842,3,1,act
806,0.23076923076923078,3,1,act
807,0.07142857142857142,3,1,act
808,0.3888888888888889,3,1,act
809,0.35714285714285715,3,1,act
810,0.23076923076923078,3,1,act
811,0.13043478260869565,3,1,act
812,0.0,3,1,act
813,0.0,3,1,act
814,0.23809523809523808,3,1,act
815,0.05263157894736842,3,1,act
817,0.21428571428571427,3,1,act
818,0.17647058823529413,3,1,act
819,0.21052631578947367,3,1,act
820,0.12903225806451613,3,1,act
821,0.3181818181818182,3,1,act
401,0.575,1,0,pas
402,0.625,1,0,pas
403,0.36585365853658536,1,0,pas
404,0.475,1,0,pas
405,0.575,1,0,pas
406,0.40476190476190477,1,0,pas
407,0.3902439024390244,1,0,pas
408,0.5952380952380952,1,0,pas
409,0.3170731707317073,1,0,pas
410,0.325,1,0,pas
411,0.5476190476190477,1,0,pas
412,0.5609756097560976,1,0,pas
413,0.5476190476190477,1,0,pas
414,0.375,1,0,pas
415,0.5238095238095238,1,0,pas
416,0.47619047619047616,1,0,pas
417,0.3939393939393939,1,0,pas
418,0.7380952380952381,1,0,pas
419,0.5476190476190477,1,0,pas
420,0.40476190476190477,1,0,pas
801,0.7083333333333334,1,0,pas
802,0.6666666666666666,1,0,pas
803,0.5833333333333334,1,0,pas
804,0.6666666666666666,1,0,pas
805,0.625,1,0,pas
806,0.5833333333333334,1,0,pas
807,0.75,1,0,pas
808,0.7083333333333334,1,0,pas
809,0.5,1,0,pas
810,0.5,1,0,pas
811,0.6666666666666666,1,0,pas
812,0.4166666666666667,1,0,pas
813,0.6666666666666666,1,0,pas
814,0.375,1,0,pas
815,0.25,1,0,pas
817,0.5833333333333334,1,0,pas
818,0.5,1,0,pas
819,0.4583333333333333,1,0,pas
820,0.5833333333333334,1,0,pas
821,0.4583333333333333,1,0,pas
401,0.25,2,0,pas
402,0.25,2,0,pas
403,0.3170731707317073,2,0,pas
404,0.2,2,0,pas
405,0.25,2,0,pas
406,0.35714285714285715,2,0,pas
407,0.2926829268292683,2,0,pas
408,0.19047619047619047,2,0,pas
409,0.3170731707317073,2,0,pas
410,0.275,2,0,pas
411,0.19047619047619047,2,0,pas
412,0.24390243902439024,2,0,pas
413,0.19047619047619047,2,0,pas
414,0.325,2,0,pas
415,0.30952380952380953,2,0,pas
416,0.23809523809523808,2,0,pas
417,0.24242424242424243,2,0,pas
418,0.09523809523809523,2,0,pas
419,0.2857142857142857,2,0,pas
420,0.40476190476190477,2,0,pas
801,0.16666666666666666,2,0,pas
802,0.2916666666666667,2,0,pas
803,0.20833333333333334,2,0,pas
804,0.16666666666666666,2,0,pas
805,0.20833333333333334,2,0,pas
806,0.20833333333333334,2,0,pas
807,0.16666666666666666,2,0,pas
808,0.2916666666666667,2,0,pas
809,0.20833333333333334,2,0,pas
810,0.3333333333333333,2,0,pas
811,0.16666666666666666,2,0,pas
812,0.25,2,0,pas
813,0.25,2,0,pas
814,0.3333333333333333,2,0,pas
815,0.5,2,0,pas
817,0.2916666666666667,2,0,pas
818,0.3333333333333333,2,0,pas
819,0.4166666666666667,2,0,pas
820,0.2708333333333333,2,0,pas
821,0.3333333333333333,2,0,pas
401,0.175,3,0,pas
402,0.125,3,0,pas
403,0.3170731707317073,3,0,pas
404,0.325,3,0,pas
405,0.175,3,0,pas
406,0.23809523809523808,3,0,pas
407,0.3170731707317073,3,0,pas
408,0.21428571428571427,3,0,pas
409,0.36585365853658536,3,0,pas
410,0.4,3,0,pas
411,0.2619047619047619,3,0,pas
412,0.1951219512195122,3,0,pas
413,0.2619047619047619,3,0,pas
414,0.3,3,0,pas
415,0.16666666666666666,3,0,pas
416,0.2857142857142857,3,0,pas
417,0.36363636363636365,3,0,pas
418,0.16666666666666666,3,0,pas
419,0.16666666666666666,3,0,pas
420,0.19047619047619047,3,0,pas
801,0.125,3,0,pas
802,0.041666666666666664,3,0,pas
803,0.20833333333333334,3,0,pas
804,0.16666666666666666,3,0,pas
805,0.16666666666666666,3,0,pas
806,0.20833333333333334,3,0,pas
807,0.08333333333333333,3,0,pas
808,0.0,3,0,pas
809,0.2916666666666667,3,0,pas
810,0.16666666666666666,3,0,pas
811,0.16666666666666666,3,0,pas
812,0.3333333333333333,3,0,pas
813,0.08333333333333333,3,0,pas
814,0.2916666666666667,3,0,pas
815,0.25,3,0,pas
817,0.125,3,0,pas
818,0.16666666666666666,3,0,pas
819,0.125,3,0,pas
820,0.14583333333333334,3,0,pas
821,0.20833333333333334,3,0,pas
401,0.5853658536585366,1,1,pas
402,0.5476190476190477,1,1,pas
403,0.18421052631578946,1,1,pas
404,0.425,1,1,pas
405,0.7619047619047619,1,1,pas
406,0.38095238095238093,1,1,pas
407,0.2777777777777778,1,1,pas
408,0.47619047619047616,1,1,pas
409,0.4473684210526316,1,1,pas
410,0.3,1,1,pas
411,0.45,1,1,pas
412,0.5238095238095238,1,1,pas
413,0.38095238095238093,1,1,pas
414,0.4166666666666667,1,1,pas
415,0.375,1,1,pas
416,0.4878048780487805,1,1,pas
417,0.3076923076923077,1,1,pas
418,0.6428571428571429,1,1,pas
419,0.47619047619047616,1,1,pas
420,0.5128205128205128,1,1,pas
801,0.6666666666666666,1,1,pas
802,0.4583333333333333,1,1,pas
803,0.4583333333333333,1,1,pas
804,0.6666666666666666,1,1,pas
805,0.5416666666666666,1,1,pas
806,0.7083333333333334,1,1,pas
807,0.5833333333333334,1,1,pas
808,0.3333333333333333,1,1,pas
809,0.5,1,1,pas
810,0.5416666666666666,1,1,pas
811,0.5,1,1,pas
812,0.5416666666666666,1,1,pas
813,0.4583333333333333,1,1,pas
814,0.43478260869565216,1,1,pas
815,0.4583333333333333,1,1,pas
817,0.5833333333333334,1,1,pas
818,0.5,1,1,pas
819,0.4166666666666667,1,1,pas
820,0.4166666666666667,1,1,pas
821,0.4166666666666667,1,1,pas
401,0.3902439024390244,2,1,pas
402,0.2857142857142857,2,1,pas
403,0.47368421052631576,2,1,pas
404,0.275,2,1,pas
405,0.16666666666666666,2,1,pas
406,0.2619047619047619,2,1,pas
407,0.3888888888888889,2,1,pas
408,0.2857142857142857,2,1,pas
409,0.18421052631578946,2,1,pas
410,0.35,2,1,pas
411,0.4,2,1,pas
412,0.35714285714285715,2,1,pas
413,0.40476190476190477,2,1,pas
414,0.2777777777777778,2,1,pas
415,0.3,2,1,pas
416,0.34146341463414637,2,1,pas
417,0.38461538461538464,2,1,pas
418,0.21428571428571427,2,1,pas
419,0.2857142857142857,2,1,pas
420,0.358974358974359,2,1,pas
801,0.20833333333333334,2,1,pas
802,0.375,2,1,pas
803,0.4166666666666667,2,1,pas
804,0.16666666666666666,2,1,pas
805,0.125,2,1,pas
806,0.25,2,1,pas
807,0.16666666666666666,2,1,pas
808,0.4166666666666667,2,1,pas
809,0.20833333333333334,2,1,pas
810,0.3333333333333333,2,1,pas
811,0.3333333333333333,2,1,pas
812,0.3333333333333333,2,1,pas
813,0.4583333333333333,2,1,pas
814,0.43478260869565216,2,1,pas
815,0.375,2,1,pas
817,0.125,2,1,pas
818,0.375,2,1,pas
819,0.375,2,1,pas
820,0.3958333333333333,2,1,pas
821,0.2916666666666667,2,1,pas
401,0.024390243902439025,3,1,pas
402,0.16666666666666666,3,1,pas
403,0.34210526315789475,3,1,pas
404,0.3,3,1,pas
405,0.07142857142857142,3,1,pas
406,0.35714285714285715,3,1,pas
407,0.3333333333333333,3,1,pas
408,0.23809523809523808,3,1,pas
409,0.3684210526315789,3,1,pas
410,0.35,3,1,pas
411,0.15,3,1,pas
412,0.11904761904761904,3,1,pas
413,0.21428571428571427,3,1,pas
414,0.3055555555555556,3,1,pas
415,0.325,3,1,pas
416,0.17073170731707318,3,1,pas
417,0.3076923076923077,3,1,pas
418,0.14285714285714285,3,1,pas
419,0.23809523809523808,3,1,pas
420,0.1282051282051282,3,1,pas
801,0.125,3,1,pas
802,0.16666666666666666,3,1,pas
803,0.125,3,1,pas
804,0.16666666666666666,3,1,pas
805,0.3333333333333333,3,1,pas
806,0.041666666666666664,3,1,pas
807,0.25,3,1,pas
808,0.25,3,1,pas
809,0.2916666666666667,3,1,pas
810,0.125,3,1,pas
811,0.16666666666666666,3,1,pas
812,0.125,3,1,pas
813,0.08333333333333333,3,1,pas
814,0.13043478260869565,3,1,pas
815,0.16666666666666666,3,1,pas
817,0.2916666666666667,3,1,pas
818,0.125,3,1,pas
819,0.20833333333333334,3,1,pas
820,0.1875,3,1,pas
821,0.2916666666666667,3,1,pas
